STT	Tên trường Đại học	Tên viết tắt	Mã trường	Địa chỉ
86	Học viện Hậu cần		HEH	Phường Ngọc Thụy, quận Long Biên, thành phố Hà Nội
87	Học viện Khoa học Quân sự		NQH	Số 322, đường Lê Trọng Tấn, quận Hoàng Mai, thành phố Hà Nội
88	Học viện Kỹ thuật Mật mã	Vietnam Academy of Cryptography Techniques	KMA	141 Chiến Thắng, Tân Triều, Thanh Trì, Hà Nội
89	Học viện Kỹ thuật Quân sự		KQH	Số 236, đường Hoàng Quốc Việt, quận Cầu Giấy, thành phố Hà Nội
90	Học viện Phòng không – Không quân		PKH	Xã Kim Sơn, thị xã Sơn Tây, thành phố Hà Nội
91	Học viện Quân y		YQH	Số 160, Phùng Hưng, Phường Phúc La, quận Hà Đông, thành phố Hà Nội
92	Học viện Quốc phòng Việt Nam			93 Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy, Hà Nội
93	Trường Đại học Chính trị	Political Officers College	LCH	Thạch Hoà, Thạch Thất, Hà Nội
94	Trường Đại học Trần Quốc Tuấn	The Army officer College No1 (TQT Uni)	LAH	Xã Cổ Đông, Thị Xã Sơn Tây, Thành Phố Hà Nội, Cổ Đông, Sơn Tây, Hà Nội
95	Trường Sĩ quan Pháo binh		PBH	ã Thanh Mỹ, thị xã Sơn Tây, TP Hà Nội
96	Trường Sĩ quan Phòng hóa		HGH	Tân Phú, Sơn Đông, Sơn Tây, Hà Nội
97	Trường Sĩ quan Đặc công		DCH	Thị trấn Xuân Mai, huyện Chương Mỹ, thành phố Hà Nội
98	Trường Đại học Văn hóa – Nghệ thuật Quân đội	Military University of Culture and Arts	ZNH	101 Nguyễn Chí Thanh, Láng Hạ, Đống Đa, Hà Nội
99	Trường Cao đẳng Công nghệ và Kỹ thuật Ô tô		COT	Phường Xuân Khanh, thị xã Sơn Tây, thành phố Hà Nội
100	Trường Cao đẳng Quân y 1			Chùa Thông, P. Sơn Lộc, Sơn Tây, Hà Nội
101	Phân hiệu Học viện Kỹ thuật Mật mã tại Thành phố Hồ Chí Minh			141 Chiến Thắng, Tân Triều, Thanh Trì, Hà Nội.
102	Học viện An ninh Nhân dân		ANH	125 Trần Phú, Văn Quán, Hà Đông, Hà Nội.
103	Học viện Cảnh sát Nhân dân		CSH	Phường Cổ Nhuế 2, Q.Bắc Từ Liêm, Hà Nội.
104	Học viện Chính trị Công an Nhân dân		HCA	Số 29 phố Lê Văn Hiến, Phường Đức Thắng, Q.Bắc Từ Liêm, Hà Nội
105	Đại học Phòng cháy Chữa cháy	Official Fire Fighting Prevention University (T34)	PCH / PCS	Số 243, đường Khuất Duy Tiến, Q.Thanh Xuân, TP Hà Nội.
106	Trường Cao đẳng An ninh Nhân dân I		AD1	Đồng Mốc, Sóc Sơn, Hà Nội
107	Trường Cao đẳng Cảnh sát Nhân dân I		CD1	207 Khuất Duy Tiến, Phường Nhân Chính, Quận Thanh Xuân, TP Hà Nội
1	Trường Đại học Nông Lâm Bắc Giang		DBG	Bích Sơn, Việt Yên, Bắc Giang	Bắc Giang
2	Trường Đại học Thể dục Thể thao Bắc Ninh		TDB	Trang Hạ, Từ Sơn, Bắc Ninh	Bắc Ninh
3	Phân viện Bắc Ninh – Học viện Ngân hàng			331 Đường Ngô Gia Tự, Kinh Bắc, Bắc Ninh	Bắc Ninh
4	Trường Đại học Kinh Bắc	University Of Kinh Bac	UKB	Phố Phúc Sơn, Phúc Sơn, Bắc Ninh, TP.Bắc Ninh Bắc Ninh	Bắc Ninh
5	Trường Đại học Quốc tế Bắc Hà	Bac Ha International University	BHIU	Số 15 đường Nguyễn Văn Cừ, phường Ninh Xá, thành phố Bắc Ninh	Bắc Ninh
6	Trường Đại học Kỹ thuật – Hậu cần Công an Nhân dân		HCB / HCN	Thị trấn Hồ, huyện Thuận Thành, tỉnh Bắc Ninh	Bắc Ninh
7	Trường Đại học Hà Hoa Tiên		DHH	QL1A, Hoang Dong, Duy Tiên, Hà Nam	Hà Nam
8	Trường Đại học Kỹ thuật Y tế Hải Dương	HMTU	DKY	1 Vũ Hựu, P. Thanh Bình, Thành phố Hải Dương, Hải Dương	Hải Dương
9	Trường Đại học Sao Đỏ	SDU	SDU	24 Nguyễn Thái Học, TT. Sao Đỏ, Chí Linh, Hải Dương	Hải Dương
10	Trường Đại học Sư phạm Kỹ thuật Hưng Yên	UTEHY	SKH	68 Đỗ Ngọc Du, P. Tân Bình, Thành phố Hải Dương, Hải Dương
Dân Tiến Khoái Châu Hưng Yên
Phố Nối, Mỹ Hào, Hưng Yên	Hải Dương
11	Trường Đại học Hải Dương	UHD	DKT	QL37, Liên Hồng, Gia Lộc, Hải Dương	Hải Dương
12	Trường Đại học Thành Đông	Thanh Dong University (TDU)	DDB	Số 03 Vũ Công Đán, Tứ Minh, Thành phố Hải Dương, Hải Dương	Hải Dương
13	Trường Đại học Hàng hải Việt Nam	ISE	HHA	484 Lạch Tray, Đổng Quốc Bình, Lê Chân, Hải Phòng	Hải Phòng
14	Đại học Y Dược Hải Phòng	HPMU	YPB	72A Nguyễn Bỉnh Khiêm, Đằng Giang, Ngô Quyền, Hải Phòng	Hải Phòng
15	Trường Đại học Hải Phòng	HPU	THP	171 Phan Đăng Lưu, Trần Thành Ngọ, Kiến An, Hải Phòng	Hải Phòng
16	Đại học Hải Phòng	Hai Phong University	THP	171 Phan Đăng Lưu, Trần Thành Ngọ, Kiến An, Hải Phòng	Hải Phòng
17	Trường Đại học Tài chính – Quản trị kinh doanh	UFBA	DFA	Cơ sở 1: Trưng Trắc – Văn Lâm – Hưng Yên
Cơ sở 2: Như Quỳnh – Văn Lâm – Hưng Yên	Hưng Yên
18	Trường Đại học Chu Văn An	Chu Van An University	DCA	Khu đại học phố Hiến, đường Tô Hiệu, Phường Hiến Nam, Thành phố Hưng yên, Hưng Yên	Hưng Yên
19	Phân hiệu Đại học Thái Nguyên tại Lào Cai – ĐH TN		DTP	Đường 19/5, Bình Minh, TX.Lào Cai, Lào Cai	Lào Cai
20	Trường Đại học Điều dưỡng Nam Định	NDUN	YDD	257 Hàn Thuyên, Vị Xuyên, TP. Nam Định, Nam Định	Nam Định
21	Trường Đại học Sư phạm Kỹ thuật Nam Định	NUTE	SKN	Phú Nghĩa, TP. Nam Định, Nam Định	Nam Định
22	Trường Đại học Lương Thế Vinh	Luong The Vinh University (LTVU)	DTV	Đường Cầu Đông, P, TP. Nam Định, Nam Định	Nam Định
23	Trường Đại học Hoa Lư	HLUV	DNB	Đường Xuân Thành, thành phố Ninh Bình, tỉnh Ninh Bình	Ninh Bình
24	Trường Đại học Công nghiệp Việt Trì	VUI	VUI	Cơ sở Việt Trì: Số 9, Đường Tiên Sơn, phường Tiên Cát, TP.Việt Trì, tỉnh Phú Thọ
Cơ sở Lâm Thao: xã Tiên Kiên, huyện Lâm Thao, tỉnh Phú Thọ	Phú Thọ
25	Trường Đại học Hùng Vương	HVU	THV	Nguyễn Tất Thành, Nông Trang, Thành phố Việt Trì, Phú Thọ	Phú Thọ
26	Trường Cao đẳng Công nghiệp Quốc phòng	Military Industrial College (MIC);	QPH	Thanh Vinh, Thị xã Phú Thọ, Tỉnh Phú Thọ.	Phú Thọ
27	Trường Dự bị Đại học dân tộc Trung ương Việt Trì – Phú Thọ			02 Trần Phú, Ph.Tân Dân, Việt Trì, Phú Thọ	Phú Thọ
28	Trường Đại học Công nghiệp Quảng Ninh	QUI	DDM	Phường, Yên Thọ, tx. Đông Triều, Quảng Ninh	Quảng Ninh
29	Phân hiệu Đại học Mỏ-Địa chất tại Quảng Ninh			Thành phố Uông Bí; Tỉnh Quảng Ninh	Quảng Ninh
30	Trường Đại học Ngoại thương, cơ sở Quảng Ninh		NTH	260 Bạch Đằng, Nam Khê, Uông Bí, Quảng Ninh	Quảng Ninh
31	Trường Đại học Hạ Long	HLU	HLU	Đông Hồ, Hồng Hải, Thành phố Hạ Long, Quảng Ninh	Quảng Ninh
32	Trường Đại học Tây Bắc	UTB	TTB	Tổ 2 – phường Quyết Tâm – TP Sơn La – tỉnh Sơn La	Sơn La
33	Trường Đại học Y Dược Thái Bình	TBUMP	YTB	Số 373 Lý Bôn, TP Thái Bình, tỉnh Thái Bình	Thái Bình
34	Trường Đại học Thái Bình	TBU	DTB	Xã Tân Bình – Thành Phố Thái Bình – Tỉnh Thái Bình	Thái Bình
35	Đại học Thái Nguyên	TNU		Tan Thinh Ward, Tân Thịnh, Thành phố Thái Nguyên, Thái Nguyên	Thái Nguyên
36	Trường Đại học Công nghệ Thông tin và Truyền thông – ĐH TN	ICTU	DTC	Đường Z 115, Quyết Thắng, Thành phố Thái Nguyên, Thái Nguyên	Thái Nguyên
37	Trường Đại học Khoa học – ĐH TN	TNUS	DTZ	Tân Thịnh, Thành phố Thái Nguyên, Thái Nguyên	Thái Nguyên
38	Trường Đại học Kinh tế và Quản trị Kinh doanh – ĐH TN	TUEBA	DTE	Tân Thịnh, Thành phố Thái Nguyên, Thái Nguyên	Thái Nguyên
39	Trường Đại học Kỹ thuật Công nghiệp – ĐH TN	TNUT	DTK	Số 666 Đường 3, 2 Ba Tháng Hai, tích dương, Thành phố Thái Nguyên, Thái Nguyên	Thái Nguyên
40	Trường Đại học Nông Lâm – ĐH TN	TUAF	DTN	Cầu Mỏ Bạch, đê, Thành phố Thái Nguyên, Thái Nguyên	Thái Nguyên
41	Trường Đại học Sư phạm – ĐH TN	TUE	DTS	Số 20, Đường Lương Ngọc Quyến, TP. Thái Nguyên	Thái Nguyên
42	Trường Đại học Y Dược – ĐH TN	TUMP	DTY	284 Đường Lương Ngọc Quyến, TP. Thái Nguyên	Thái Nguyên
43	Phân hiệu Đại học Công nghệ Giao thông Vận tải tại Thái Nguyên	UTT	GTA	Phú Thái, Tân Thịnh, TP.Thái Nguyên, Thái Nguyên	Thái Nguyên
44	Trường Đại học Việt Bắc	Viet Bac University (VBU)	DVB	QL 1B, Đồng Bẩm, Thành phố Thái Nguyên, Thái Nguyên	Thái Nguyên
45	Trường Đại học Tân Trào	Tan Trao University	TQU	QL2, Trung Môn, Yên Sơn, Tuyên Quang	Tuyên Quang
46	Trường Đại học Sư phạm Hà Nội 2	ĐHSP HN2	SP2	Đường Nguyễn Văn Linh, Phường Xuân Hoà, Phúc Yên, Vĩnh Phúc	Vĩnh Phúc
47	Phân hiệu Đại học Công nghệ Giao thông Vận tải tại Vĩnh Phúc			Số 278 Lam Sơn, Đồng Tâm, TP. Vĩnh Yên, Vĩnh Phúc	Vĩnh Phúc
48	Trường Đại học Trưng Vương	Trung Vuong University (TVU)	DVP	QL2B, Kim Long, Tam Đảo, Vĩnh Phúc	Vĩnh Phúc
49	Trường Sĩ quan Tăng-Thiết giáp	Military College of Tank Armour Officer (MCTAO)	TGH	km6 – đường Vĩnh Yên-Tam Đảo, xã Kim Long, huyện Tam Dương, tỉnh Vĩnh Phúc	Vĩnh phúc
